,created_at,id,id_str,sentiment,School_reopening,2020Election,News_State_Economy,Policies_Mask_Safty,General_Critics,dominant_topic
0,2020-08-08 23:59:41+00:00,1.29E+18,1.29E+18,1,0.17,0.02,0.02,0.34,0.44,4
1,2020-08-08 23:59:25+00:00,1.29E+18,1.29E+18,-1,0.03,0.86,0.03,0.03,0.03,1
2,2020-08-08 23:59:05+00:00,1.29E+18,1.29E+18,0,0.04,0.04,0.04,0.84,0.04,3
3,2020-08-08 23:58:50+00:00,1.29E+18,1.29E+18,-1,0.02,0.02,0.02,0.91,0.02,3
4,2020-08-08 23:58:37+00:00,1.29E+18,1.29E+18,1,0.04,0.04,0.04,0.04,0.84,4
5,2020-08-08 23:58:23+00:00,1.29E+18,1.29E+18,0,0.35,0.04,0.04,0.04,0.53,4
6,2020-08-08 23:57:57+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.55,0.35,0.03,2
7,2020-08-08 23:57:52+00:00,1.29E+18,1.29E+18,1,0.43,0.02,0.02,0.02,0.51,4
8,2020-08-08 23:57:37+00:00,1.29E+18,1.29E+18,1,0.07,0.73,0.07,0.07,0.07,1
9,2020-08-08 23:57:36+00:00,1.29E+18,1.29E+18,1,0.05,0.05,0.05,0.8,0.05,3
10,2020-08-08 23:57:30+00:00,1.29E+18,1.29E+18,-1,0.17,0.03,0.65,0.13,0.03,2
11,2020-08-08 23:57:16+00:00,1.29E+18,1.29E+18,-1,0.1,0.1,0.1,0.1,0.59,4
12,2020-08-08 23:57:14+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
13,2020-08-08 23:57:11+00:00,1.29E+18,1.29E+18,-1,0.1,0.1,0.59,0.1,0.1,2
14,2020-08-08 23:57:05+00:00,1.29E+18,1.29E+18,0,0.05,0.05,0.3,0.05,0.55,4
15,2020-08-08 23:57:03+00:00,1.29E+18,1.29E+18,-1,0.35,0.57,0.03,0.03,0.03,1
16,2020-08-08 23:56:58+00:00,1.29E+18,1.29E+18,0,0.1,0.59,0.1,0.1,0.1,1
17,2020-08-08 23:56:51+00:00,1.29E+18,1.29E+18,0,0.8,0.05,0.05,0.05,0.05,0
18,2020-08-08 23:56:44+00:00,1.29E+18,1.29E+18,1,0.21,0.03,0.03,0.03,0.7,4
19,2020-08-08 23:56:30+00:00,1.29E+18,1.29E+18,-1,0.1,0.1,0.1,0.1,0.6,4
20,2020-08-08 23:56:30+00:00,1.29E+18,1.29E+18,1,0.02,0.75,0.2,0.02,0.02,1
21,2020-08-08 23:56:19+00:00,1.29E+18,1.29E+18,-1,0.34,0.16,0.31,0.02,0.17,0
22,2020-08-08 23:56:04+00:00,1.29E+18,1.29E+18,1,0.05,0.44,0.41,0.05,0.05,1
23,2020-08-08 23:55:59+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.03,0.88,0.03,3
24,2020-08-08 23:55:40+00:00,1.29E+18,1.29E+18,0,0.05,0.05,0.05,0.8,0.05,3
25,2020-08-08 23:55:15+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.6,0.1,0.1,2
26,2020-08-08 23:55:14+00:00,1.29E+18,1.29E+18,-1,0.07,0.07,0.07,0.73,0.07,3
27,2020-08-08 23:55:05+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
28,2020-08-08 23:55:05+00:00,1.29E+18,1.29E+18,0,0.07,0.07,0.07,0.51,0.29,3
29,2020-08-08 23:54:55+00:00,1.29E+18,1.29E+18,-1,0.16,0.3,0.26,0.02,0.26,1
30,2020-08-08 23:54:54+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.86,0.03,0.03,2
31,2020-08-08 23:54:46+00:00,1.29E+18,1.29E+18,1,0.05,0.05,0.8,0.05,0.05,2
32,2020-08-08 23:54:38+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.6,0.1,0.1,2
33,2020-08-08 23:54:36+00:00,1.29E+18,1.29E+18,1,0.05,0.05,0.05,0.53,0.32,3
34,2020-08-08 23:54:36+00:00,1.29E+18,1.29E+18,1,0.3,0.03,0.6,0.03,0.03,2
35,2020-08-08 23:54:28+00:00,1.29E+18,1.29E+18,0,0.6,0.1,0.1,0.1,0.1,0
36,2020-08-08 23:54:16+00:00,1.29E+18,1.29E+18,1,0.04,0.04,0.04,0.84,0.04,3
37,2020-08-08 23:53:46+00:00,1.29E+18,1.29E+18,-1,0.04,0.04,0.39,0.04,0.49,4
38,2020-08-08 23:53:36+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.17,0.03,0.74,4
39,2020-08-08 23:53:34+00:00,1.29E+18,1.29E+18,-1,0.24,0.04,0.04,0.04,0.64,4
40,2020-08-08 23:53:23+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.03,0.63,0.29,3
41,2020-08-08 23:53:23+00:00,1.29E+18,1.29E+18,0,0.04,0.04,0.04,0.04,0.84,4
42,2020-08-08 23:53:17+00:00,1.29E+18,1.29E+18,-1,0.35,0.3,0.3,0.03,0.03,0
43,2020-08-08 23:53:10+00:00,1.29E+18,1.29E+18,1,0.17,0.03,0.73,0.03,0.03,2
44,2020-08-08 23:52:43+00:00,1.29E+18,1.29E+18,0,0.03,0.55,0.27,0.13,0.03,1
45,2020-08-08 23:52:32+00:00,1.29E+18,1.29E+18,-1,0.07,0.07,0.73,0.07,0.07,2
46,2020-08-08 23:52:31+00:00,1.29E+18,1.29E+18,0,0.26,0.04,0.04,0.62,0.04,3
47,2020-08-08 23:52:22+00:00,1.29E+18,1.29E+18,0,0.05,0.8,0.05,0.05,0.05,1
48,2020-08-08 23:51:55+00:00,1.29E+18,1.29E+18,-1,0.55,0.05,0.05,0.3,0.05,0
49,2020-08-08 23:51:49+00:00,1.29E+18,1.29E+18,1,0.01,0.14,0.34,0.01,0.49,4
50,2020-08-08 23:51:38+00:00,1.29E+18,1.29E+18,1,0.07,0.73,0.07,0.07,0.07,1
51,2020-08-08 23:51:27+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.6,0.1,0.1,2
52,2020-08-08 23:51:06+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.6,0.1,0.1,2
53,2020-08-08 23:51:00+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.03,0.88,0.03,3
54,2020-08-08 23:50:52+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.6,0.1,0.1,2
55,2020-08-08 23:50:47+00:00,1.29E+18,1.29E+18,-1,0.02,0.62,0.2,0.02,0.14,1
56,2020-08-08 23:50:45+00:00,1.29E+18,1.29E+18,1,0.02,0.44,0.02,0.49,0.02,3
